ID,PANEL_NAME,TEST_NAME,"Comp_FLAG
(H = positive result / 0 = negative result)","Screen_FLAG 
(H = positive result / 0 = negative result / blank = not tested)","Confirm_FLAG 
(H = positive result / 0 = negative result / blank = not tested)",COMP/EIA_Comparison,COMP/Confirm_Comparison,EIA/Confirm_Comparison
18,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
19,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
20,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
21,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
22,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
23,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
24,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
25,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
26,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
27,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
28,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
29,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
30,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
31,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
32,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
33,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
34,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
35,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
36,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
37,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
38,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
39,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,H,H,H,H/H,H/H,H/H
40,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,H,,0/H,,
41,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
42,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,H,0,0/H,0/0,H/0
43,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
44,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
45,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
46,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,H,0,0/H,0/0,H/0
47,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,H,H,0/H,0/H,H/H
48,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
49,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,H,0/0,0/H,0/H
50,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
51,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
52,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,H,0,0/H,0/0,H/0
53,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,H,0,0/H,0/0,H/0
54,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
55,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
56,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,H,H,H,H/H,H/H,H/H
57,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
58,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
59,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
60,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,H,0,0/H,0/0,H/0
61,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
62,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,H,H,H,H/H,H/H,H/H
63,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,H,H,H,H/H,H/H,H/H
64,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,H,0,0/H,0/0,H/0
65,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
66,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,H,,0/H,,
67,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
68,Pain (PAR) - Comprehensive Screen Panel,Methadone,H,H,H,H/H,H/H,H/H
69,Pain (PAR) - Comprehensive Screen Panel,Morphine,H,H,H,H/H,H/H,H/H
70,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
71,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
72,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),H,H,H,H/H,H/H,H/H
73,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
74,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
75,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
76,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
77,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,H,,H,,H/H,
78,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
79,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
80,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
81,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,H,,0/H,
82,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
83,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
84,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
85,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
86,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
87,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
88,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
89,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
90,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
91,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
92,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
93,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
94,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
95,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
96,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
97,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
98,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
99,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
100,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
101,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
102,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
103,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
104,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
105,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
106,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
107,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
108,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
109,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
110,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
111,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
112,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
113,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
114,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
115,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
116,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
117,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
118,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
119,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
120,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
121,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
122,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
123,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
124,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
125,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
126,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
127,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
128,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
129,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
130,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
131,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
132,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
133,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
134,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
135,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
136,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
137,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
138,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
139,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
140,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
141,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
142,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
143,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
144,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
145,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
146,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
147,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
148,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
149,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
150,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
151,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
152,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
153,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
154,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
155,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
156,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
157,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
158,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
159,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
160,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
161,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
162,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
163,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
164,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
165,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
166,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
167,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
168,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
169,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
170,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
171,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
172,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
173,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
174,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
175,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
176,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
177,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
178,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
179,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
180,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
181,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,H,0/0,0/H,0/H
182,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
183,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
184,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
185,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
186,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
187,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
188,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
189,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,H,0,0/H,0/0,H/0
190,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
191,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
192,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
193,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
194,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
195,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
196,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
197,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
198,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
199,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
200,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
201,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
202,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
203,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
204,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
205,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
206,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
207,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
208,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
209,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
210,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
211,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
212,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
213,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
214,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
215,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
216,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,H,H,H,H/H,H/H,H/H
217,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
218,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
219,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
220,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
221,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
222,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
223,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
224,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
225,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
226,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
227,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
228,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
229,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
230,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
231,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),H,H,H,H/H,H/H,H/H
232,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
233,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
234,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
235,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
236,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
237,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
238,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
239,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
240,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
241,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
242,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
243,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
244,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
245,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
246,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
247,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
248,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
249,Pain (PAR) - Comprehensive Screen Panel,Methadone,H,H,H,H/H,H/H,H/H
250,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
251,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
252,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
253,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
254,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
255,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
256,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
257,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
258,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
259,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
260,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
261,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,H,H,H,H/H,H/H,H/H
262,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
263,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
264,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
265,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
266,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
267,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
268,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),H,H,H,H/H,H/H,H/H
269,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
270,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
271,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
272,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
273,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
274,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
275,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
276,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
277,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
278,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
279,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
